grabNumber,grabMsec,deviceSec,deviceUsec,cameraProperties,episode
250,46905,4644,511927,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
251,47030,4644,636919,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
252,47155,4644,761911,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
253,47280,4644,886903,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
254,47405,4645,11896,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
255,47530,4645,136888,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
256,47655,4645,261880,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
257,47780,4645,386872,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
258,47905,4645,511864,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
259,48030,4645,636857,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
260,48155,4645,761849,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
