nord,east,alt,speed,vf,vl,vu,yaw,pitch,roll,af,al,au,wf,wl,wu,numsats,satellitesInView,profile,fixQuality,HDOP,timestamp,grabMsec,episode
59.9586628,30.3450609,7.924,5.085,0.0,0.0,0.0,-3.4753711650704404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.82,2024-07-19T11: 52: 02.500+03: 00,43568,new.004.001.
59.9586585,30.3450579,7.922,5.11,0.0,0.0,0.0,-3.4748702555751185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.82,2024-07-19T11: 52: 02.600+03: 00,43667,new.004.001.
59.9586541,30.3450547,7.924,5.149,0.0,0.0,0.0,-3.4871311935703786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.82,2024-07-19T11: 52: 02.700+03: 00,43768,new.004.001.
59.9586497,30.3450516,7.91,5.186,0.0,0.0,0.0,-3.483942477026985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.82,2024-07-19T11: 52: 02.800+03: 00,43867,new.004.001.
59.9586453,30.3450485,7.911,5.177,0.0,0.0,0.0,-3.480043411478029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.82,2024-07-19T11: 52: 02.900+03: 00,43965,new.004.001.
59.9586409,30.3450453,7.904,5.176,0.0,0.0,0.0,-3.4878450332344437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.72,2024-07-19T11: 52: 03.000+03: 00,44074,new.004.001.
59.9586365,30.3450423,7.901,5.172,0.0,0.0,0.0,-3.4759331610895825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.72,2024-07-19T11: 52: 03.100+03: 00,44170,new.004.001.
59.9586321,30.3450393,7.891,5.166,0.0,0.0,0.0,-3.4754008356677244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.72,2024-07-19T11: 52: 03.200+03: 00,44268,new.004.001.
59.9586277,30.3450362,7.877,5.194,0.0,0.0,0.0,-3.481060938431942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.72,2024-07-19T11: 52: 03.300+03: 00,44369,new.004.001.
59.9586233,30.3450329,7.86,5.219,0.0,0.0,0.0,-3.4919483023058833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.72,2024-07-19T11: 52: 03.400+03: 00,44476,new.004.001.
59.9586189,30.3450299,7.856,5.197,0.0,0.0,0.0,-3.4768756388856596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.72,2024-07-19T11: 52: 03.500+03: 00,44568,new.004.001.
59.9586145,30.3450269,7.848,5.175,0.0,0.0,0.0,-3.473091765067336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.72,2024-07-19T11: 52: 03.600+03: 00,44668,new.004.001.
59.95861,30.3450236,7.841,5.275,0.0,0.0,0.0,-3.4862114050545774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.72,2024-07-19T11: 52: 03.700+03: 00,44769,new.004.001.
59.9586056,30.3450206,7.835,5.197,0.0,0.0,0.0,-3.475842403968479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.72,2024-07-19T11: 52: 03.800+03: 00,44866,new.004.001.
59.9586011,30.3450176,7.828,5.223,0.0,0.0,0.0,-3.472240044392363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.72,2024-07-19T11: 52: 03.900+03: 00,44968,new.004.001.
59.9585967,30.3450145,7.825,5.245,0.0,0.0,0.0,-3.4728927975326087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.72,2024-07-19T11: 52: 04.000+03: 00,45075,new.004.001.
59.9585922,30.3450114,7.82,5.25,0.0,0.0,0.0,-3.4771287116271985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.96,2024-07-19T11: 52: 04.100+03: 00,45171,new.004.001.
59.9585878,30.3450082,7.812,5.275,0.0,0.0,0.0,-3.4811831114795817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.96,2024-07-19T11: 52: 04.200+03: 00,45274,new.004.001.
59.9585834,30.3450052,7.812,5.202,0.0,0.0,0.0,-3.4688872668992814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.99,2024-07-19T11: 52: 04.300+03: 00,45370,new.004.001.
59.9585789,30.3450022,7.804,5.22,0.0,0.0,0.0,-3.473288987272811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.96,2024-07-19T11: 52: 04.400+03: 00,45467,new.004.001.
59.9585745,30.3449991,7.798,5.242,0.0,0.0,0.0,-3.473451302893247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.96,2024-07-19T11: 52: 04.500+03: 00,45567,new.004.001.
59.9585699,30.344996,7.794,5.325,0.0,0.0,0.0,-3.4707600051866723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.96,2024-07-19T11: 52: 04.600+03: 00,45668,new.004.001.
59.9585655,30.3449929,7.792,5.264,0.0,0.0,0.0,-3.4805844635461476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.96,2024-07-19T11: 52: 04.700+03: 00,45764,new.004.001.
59.9585611,30.3449897,7.785,5.239,0.0,0.0,0.0,-3.482609045478461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.96,2024-07-19T11: 52: 04.800+03: 00,45866,new.004.001.
59.9585566,30.3449867,7.785,5.247,0.0,0.0,0.0,-3.468560890329159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.96,2024-07-19T11: 52: 04.900+03: 00,45967,new.004.001.
59.9585522,30.3449836,7.779,5.286,0.0,0.0,0.0,-3.4727479352046937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 05.000+03: 00,46072,new.004.001.
59.9585477,30.3449805,7.777,5.271,0.0,0.0,0.0,-3.478692526636986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 05.100+03: 00,46169,new.004.001.
59.9585432,30.3449773,7.774,5.347,0.0,0.0,0.0,-3.4812075460891094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 05.200+03: 00,46269,new.004.001.
59.9585388,30.3449742,7.77,5.248,0.0,0.0,0.0,-3.474706194625431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 05.300+03: 00,46370,new.004.001.
59.9585342,30.3449711,7.766,5.328,0.0,0.0,0.0,-3.4739853736443576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 05.400+03: 00,46474,new.004.001.
59.9585297,30.3449679,7.757,5.306,0.0,0.0,0.0,-3.4808672068849704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 05.500+03: 00,46568,new.004.001.
59.9585252,30.3449648,7.755,5.306,0.0,0.0,0.0,-3.473995845619869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 05.600+03: 00,46666,new.004.001.
59.9585207,30.3449616,7.751,5.368,0.0,0.0,0.0,-3.477985668289928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.93,2024-07-19T11: 52: 05.700+03: 00,46768,new.004.001.
